symbol,avg_daily_return,volatility,log_volume,log_price,cluster
CTL,-0.000469,0.018254,6.827954,1.469016,2
CTSH,0.00049,0.016008,6.625942,1.768145,1
CTXS,0.000505,0.017918,6.280343,1.869991,0
CVS,0.000109,0.012546,6.747513,1.942977,1
CVX,0.0001,0.013526,6.866538,2.029573,1
CXO,0.000657,0.023815,6.179021,2.078886,0
D,0.000299,0.010753,6.406938,1.864099,0
DAL,0.000884,0.019177,7.018553,1.645419,1
DE,0.000636,0.013441,6.474038,1.97805,0
DFS,0.000416,0.013314,6.474134,1.775763,1
DG,0.000544,0.015926,6.560507,1.859196,1
DGX,0.000694,0.012259,6.123821,1.887599,0
DHI,0.000993,0.017209,6.696342,1.468769,1
DHR,0.000274,0.012236,6.471863,1.925885,0
DIS,0.000408,0.01155,6.883211,1.995753,1
DISCA,-0.000999,0.024567,6.532159,1.558359,2
DISCK,-0.000984,0.024232,6.292862,1.53933,2
DISH,-3.9e-05,0.017332,6.351528,1.777369,2
DLR,0.000915,0.013084,6.136318,1.921107,0
DLTR,0.000758,0.015391,6.430069,1.870048,0
DOV,0.00018,0.015504,6.156427,1.881979,0
DPS,0.000763,0.010605,6.136627,1.90676,0
DRE,0.000656,0.011565,6.396558,1.351967,1
DRI,0.000686,0.014223,6.22241,1.818332,0
DTE,0.000566,0.010182,6.013564,1.947634,0
DUK,0.00026,0.01001,6.494656,1.891488,0
DVA,0.0002,0.013526,6.139066,1.846812,0
DVN,-4.1e-05,0.026386,6.741896,1.685852,2
EA,0.001692,0.018899,6.550462,1.838588,0
EBAY,3.8e-05,0.023814,7.03762,1.601169,2
ECL,0.000316,0.010962,6.043774,2.06662,0
ED,0.000503,0.010123,6.300402,1.83859,0
EFX,0.000682,0.016557,5.92231,2.020914,0
EIX,0.0004,0.01186,6.313185,1.823118,0
EL,0.000619,0.012378,6.264968,1.935292,0
EMN,0.000254,0.014993,6.130892,1.888709,0
EMR,8.6e-05,0.012662,6.588224,1.762902,1
EOG,0.000452,0.019259,6.59909,1.958762,1
EQIX,0.001042,0.013696,5.837259,2.490199,0
EQR,0.000266,0.011211,6.275868,1.832971,0
EQT,-0.000217,0.021229,6.304607,1.874754,2
ES,0.000472,0.010466,6.200988,1.724592,0
ESRX,0.000163,0.013991,6.635137,1.870854,1
ESS,0.000559,0.011083,5.60552,2.340514,0
ETFC,0.001099,0.019306,6.524814,1.462134,1
ETN,0.000151,0.014553,6.448993,1.830696,1
ETR,0.000335,0.011081,6.156407,1.875572,0
EVHC,-0.002106,0.029553,6.352471,1.734141,2
EW,0.001395,0.018598,6.293859,1.907555,0
EXC,0.00046,0.0134,6.809486,1.533211,1
EXPD,0.000465,0.011863,6.13372,1.69034,0
EXPE,0.000741,0.019858,6.331419,2.036453,0
EXR,0.000817,0.01285,5.979943,1.855415,0
F,-0.000114,0.013866,7.517385,1.140893,1
FAST,0.000261,0.014422,6.409852,1.649642,1
FB,0.001313,0.017327,7.465796,2.032369,1
FBHS,0.00051,0.014289,6.126897,1.718828,0
FCX,-5e-06,0.036989,7.408576,1.260214,2
FDX,0.000659,0.012927,6.232454,2.233273,0
FE,3.3e-05,0.013278,6.582162,1.519756,1
FFIV,0.000523,0.016485,6.00692,2.07604,0
FIS,0.000647,0.012292,6.19781,1.844559,0
FISV,0.000861,0.010337,6.028792,1.965548,0
FITB,0.00049,0.015348,6.86554,1.336577,1
FL,0.000379,0.021747,6.394312,1.76312,2
FLIR,0.000574,0.014594,5.957817,1.525991,0
FLR,-0.000221,0.020011,6.172064,1.746355,2
FLS,-0.000444,0.017758,6.119595,1.728378,2
FMC,0.000388,0.017384,6.088761,1.780441,0
FOX,8.4e-05,0.014861,6.581495,1.479266,1
FOXA,8.5e-05,0.015235,7.08059,1.485096,1
FRT,0.000331,0.010725,5.627878,2.132696,0
FTI,-0.000278,0.020559,6.513936,1.572104,2
FTV,0.001119,0.011055,6.179983,1.779775,0
GD,0.000819,0.01086,6.186219,2.177777,0
GE,-0.000382,0.011848,7.617461,1.435833,1
GGP,0.000258,0.014559,6.677516,1.406704,1
GILD,0.000105,0.017398,7.059268,1.944577,1
GIS,0.000236,0.010436,6.519369,1.755866,1
GLW,0.000681,0.013889,6.944947,1.356388,1
GM,0.000114,0.01501,7.17438,1.53723,1
GOOG,0.000758,0.013958,6.257651,2.854,0
GOOGL,0.000728,0.013824,6.323702,2.858873,0
GPC,0.000216,0.011728,5.869292,1.961462,0
GPN,0.001236,0.015697,6.137735,1.797468,0
GPS,9.4e-05,0.020909,6.733949,1.498279,2
GRMN,0.000419,0.016732,6.126617,1.687936,0
GS,0.000458,0.013776,6.501975,2.283829,0
GT,0.000477,0.017942,6.537515,1.470016,1
GWW,3.4e-05,0.014283,5.82943,2.35253,0
HAL,0.000176,0.019933,7.036663,1.672577,2
HAS,0.000625,0.015437,6.105442,1.878957,0
HBAN,0.000538,0.015354,7.015201,1.043334,1
HBI,0.00037,0.019207,6.604716,1.408629,1
HCA,0.000745,0.016727,6.497999,1.867384,0
